frame_name,video_name,interval,frame_number,class,type,path
1_UD_frame1140,1,0,1140,UD,Train,./content/outFrames\UD\1_start38_end41_interval1\1_UD_frame1140.png
1_UD_frame1142,1,0,1142,UD,Train,./content/outFrames\UD\1_start38_end41_interval1\1_UD_frame1142.png
1_UD_frame1144,1,0,1144,UD,Train,./content/outFrames\UD\1_start38_end41_interval1\1_UD_frame1144.png
1_UD_frame1146,1,0,1146,UD,Train,./content/outFrames\UD\1_start38_end41_interval1\1_UD_frame1146.png
1_UD_frame1148,1,0,1148,UD,Train,./content/outFrames\UD\1_start38_end41_interval1\1_UD_frame1148.png
1_UD_frame1150,1,0,1150,UD,Train,./content/outFrames\UD\1_start38_end41_interval1\1_UD_frame1150.png
1_UD_frame1152,1,0,1152,UD,Train,./content/outFrames\UD\1_start38_end41_interval1\1_UD_frame1152.png
1_UD_frame1154,1,0,1154,UD,Train,./content/outFrames\UD\1_start38_end41_interval1\1_UD_frame1154.png
1_UD_frame1156,1,0,1156,UD,Train,./content/outFrames\UD\1_start38_end41_interval1\1_UD_frame1156.png
1_UD_frame1158,1,0,1158,UD,Train,./content/outFrames\UD\1_start38_end41_interval1\1_UD_frame1158.png
1_UD_frame1160,1,0,1160,UD,Train,./content/outFrames\UD\1_start38_end41_interval1\1_UD_frame1160.png
1_UD_frame1162,1,0,1162,UD,Train,./content/outFrames\UD\1_start38_end41_interval1\1_UD_frame1162.png
1_UD_frame1164,1,0,1164,UD,Train,./content/outFrames\UD\1_start38_end41_interval1\1_UD_frame1164.png
1_UD_frame1166,1,0,1166,UD,Train,./content/outFrames\UD\1_start38_end41_interval1\1_UD_frame1166.png
1_UD_frame1168,1,0,1168,UD,Train,./content/outFrames\UD\1_start38_end41_interval1\1_UD_frame1168.png
1_UD_frame1170,1,0,1170,UD,Train,./content/outFrames\UD\1_start38_end41_interval1\1_UD_frame1170.png
1_UD_frame1172,1,0,1172,UD,Train,./content/outFrames\UD\1_start38_end41_interval1\1_UD_frame1172.png
1_UD_frame1174,1,0,1174,UD,Train,./content/outFrames\UD\1_start38_end41_interval1\1_UD_frame1174.png
1_UD_frame1176,1,0,1176,UD,Train,./content/outFrames\UD\1_start38_end41_interval1\1_UD_frame1176.png
1_UD_frame1178,1,0,1178,UD,Train,./content/outFrames\UD\1_start38_end41_interval1\1_UD_frame1178.png
1_UD_frame1180,1,0,1180,UD,Train,./content/outFrames\UD\1_start38_end41_interval1\1_UD_frame1180.png
1_UD_frame1182,1,0,1182,UD,Train,./content/outFrames\UD\1_start38_end41_interval1\1_UD_frame1182.png
1_UD_frame1184,1,0,1184,UD,Train,./content/outFrames\UD\1_start38_end41_interval1\1_UD_frame1184.png
1_UD_frame1186,1,0,1186,UD,Train,./content/outFrames\UD\1_start38_end41_interval1\1_UD_frame1186.png
1_UD_frame1188,1,0,1188,UD,Train,./content/outFrames\UD\1_start38_end41_interval1\1_UD_frame1188.png
1_UD_frame1190,1,0,1190,UD,Train,./content/outFrames\UD\1_start38_end41_interval1\1_UD_frame1190.png
1_UD_frame1192,1,0,1192,UD,Train,./content/outFrames\UD\1_start38_end41_interval1\1_UD_frame1192.png
1_UD_frame1194,1,0,1194,UD,Train,./content/outFrames\UD\1_start38_end41_interval1\1_UD_frame1194.png
1_UD_frame1196,1,0,1196,UD,Train,./content/outFrames\UD\1_start38_end41_interval1\1_UD_frame1196.png
1_UD_frame1198,1,0,1198,UD,Train,./content/outFrames\UD\1_start38_end41_interval1\1_UD_frame1198.png
1_UD_frame1200,1,0,1200,UD,Train,./content/outFrames\UD\1_start38_end41_interval1\1_UD_frame1200.png
1_UD_frame1202,1,0,1202,UD,Train,./content/outFrames\UD\1_start38_end41_interval1\1_UD_frame1202.png
1_UD_frame1204,1,0,1204,UD,Train,./content/outFrames\UD\1_start38_end41_interval1\1_UD_frame1204.png
1_UD_frame1206,1,0,1206,UD,Train,./content/outFrames\UD\1_start38_end41_interval1\1_UD_frame1206.png
1_UD_frame1208,1,0,1208,UD,Train,./content/outFrames\UD\1_start38_end41_interval1\1_UD_frame1208.png
1_UD_frame1210,1,0,1210,UD,Train,./content/outFrames\UD\1_start38_end41_interval1\1_UD_frame1210.png
1_UD_frame1212,1,0,1212,UD,Train,./content/outFrames\UD\1_start38_end41_interval1\1_UD_frame1212.png
1_UD_frame1214,1,0,1214,UD,Train,./content/outFrames\UD\1_start38_end41_interval1\1_UD_frame1214.png
1_UD_frame1216,1,0,1216,UD,Train,./content/outFrames\UD\1_start38_end41_interval1\1_UD_frame1216.png
1_UD_frame1218,1,0,1218,UD,Train,./content/outFrames\UD\1_start38_end41_interval1\1_UD_frame1218.png
1_UD_frame1220,1,0,1220,UD,Train,./content/outFrames\UD\1_start38_end41_interval1\1_UD_frame1220.png
1_UD_frame1920,1,0,1920,UD,Train,./content/outFrames\UD\1_start64_end68_interval1\1_UD_frame1920.png
1_UD_frame1922,1,0,1922,UD,Train,./content/outFrames\UD\1_start64_end68_interval1\1_UD_frame1922.png
1_UD_frame1924,1,0,1924,UD,Train,./content/outFrames\UD\1_start64_end68_interval1\1_UD_frame1924.png
1_UD_frame1926,1,0,1926,UD,Train,./content/outFrames\UD\1_start64_end68_interval1\1_UD_frame1926.png
1_UD_frame1928,1,0,1928,UD,Train,./content/outFrames\UD\1_start64_end68_interval1\1_UD_frame1928.png
1_UD_frame1930,1,0,1930,UD,Train,./content/outFrames\UD\1_start64_end68_interval1\1_UD_frame1930.png
1_UD_frame1932,1,0,1932,UD,Train,./content/outFrames\UD\1_start64_end68_interval1\1_UD_frame1932.png
1_UD_frame1934,1,0,1934,UD,Train,./content/outFrames\UD\1_start64_end68_interval1\1_UD_frame1934.png
1_UD_frame1936,1,0,1936,UD,Train,./content/outFrames\UD\1_start64_end68_interval1\1_UD_frame1936.png
1_UD_frame1938,1,0,1938,UD,Train,./content/outFrames\UD\1_start64_end68_interval1\1_UD_frame1938.png
1_UD_frame1940,1,0,1940,UD,Train,./content/outFrames\UD\1_start64_end68_interval1\1_UD_frame1940.png
1_UD_frame1942,1,0,1942,UD,Train,./content/outFrames\UD\1_start64_end68_interval1\1_UD_frame1942.png
1_UD_frame1944,1,0,1944,UD,Train,./content/outFrames\UD\1_start64_end68_interval1\1_UD_frame1944.png
1_UD_frame1946,1,0,1946,UD,Train,./content/outFrames\UD\1_start64_end68_interval1\1_UD_frame1946.png
